pot,num_seeds,weight_seeds_mg,avg_weight_seed,seed_type,focal_species,background_species,background_density,treatment,notes
67,20,17.97,0.8985,winged,PLCO,VALO,20,Drought-stressed,
68,111,43.81,0.394684685,unwinged,PLCO,VALO,20,Drought-stressed,
69,72,31.72,0.440555556,unwinged,PLCO,VALO,20,Drought-stressed,
70,128,63.2,0.49375,unwinged,PLCO,VALO,20,Drought-stressed,
71,52,26.01,0.500192308,unwinged,PLCO,VALO,20,Drought-stressed,
72,20,6.71,0.3355,unwinged,PLCO,VALO,20,Drought-stressed,
73,657,462.11,0.703363775,winged,PLCO,PLCO,0,Well-watered,
74,251,101.86,0.405816733,unwinged,PLCO,PLCO,0,Well-watered,
75,394,146.46,0.371725888,unwinged,PLCO,PLCO,0,Well-watered,
76,301,89.18,0.29627907,unwinged,PLCO,PLCO,0,Well-watered,
77,90,65.27,0.725222222,unwinged,PLCO,PLCO,0,Well-watered,
78,256,124.35,0.485742188,unwinged,PLCO,PLCO,0,Well-watered,
79,374,137.6,0.367914439,unwinged,PLCO,PLCO,0,Well-watered,
80,163,56.6,0.347239264,unwinged,PLCO,PLCO,0,Well-watered,
81,503,262.95,0.522763419,winged,PLCO,PLCO,0,Well-watered,
82,391,161.39,0.412762148,unwinged,PLCO,PLCO,0,Well-watered,
83,460,163.21,0.354804348,unwinged,PLCO,PLCO,0,Well-watered,
84,1137,398.26,0.350272647,unwinged,PLCO,PLCO,0,Well-watered,
85,468,275.68,0.589059829,winged,PLCO,PLCO,0,Well-watered,
86,359,199.89,0.556796657,winged,PLCO,PLCO,0,Well-watered,
87,475,233.57,0.491726316,unwinged,PLCO,PLCO,0,Well-watered,
88,365,206.33,0.565287671,winged,PLCO,PLCO,0,Well-watered,
73,657,462.11,0.703363775,winged,PLCO,VALO,0,Well-watered,
74,251,101.86,0.405816733,unwinged,PLCO,VALO,0,Well-watered,
75,394,146.46,0.371725888,unwinged,PLCO,VALO,0,Well-watered,
76,301,89.18,0.29627907,unwinged,PLCO,VALO,0,Well-watered,
77,90,65.27,0.725222222,unwinged,PLCO,VALO,0,Well-watered,
78,256,124.35,0.485742188,unwinged,PLCO,VALO,0,Well-watered,
79,374,137.6,0.367914439,unwinged,PLCO,VALO,0,Well-watered,
80,163,56.6,0.347239264,unwinged,PLCO,VALO,0,Well-watered,
81,503,262.95,0.522763419,winged,PLCO,VALO,0,Well-watered,
82,391,161.39,0.412762148,unwinged,PLCO,VALO,0,Well-watered,
83,460,163.21,0.354804348,unwinged,PLCO,VALO,0,Well-watered,
84,1137,398.26,0.350272647,unwinged,PLCO,VALO,0,Well-watered,
85,468,275.68,0.589059829,winged,PLCO,VALO,0,Well-watered,
86,359,199.89,0.556796657,winged,PLCO,VALO,0,Well-watered,
87,475,233.57,0.491726316,unwinged,PLCO,VALO,0,Well-watered,
88,365,206.33,0.565287671,winged,PLCO,VALO,0,Well-watered,
89,393,135.79,0.345521628,unwinged,PLCO,PLCO,4,Well-watered,
90,44,20.46,0.465,unwinged,PLCO,PLCO,4,Well-watered,
91,98,46.06,0.47,unwinged,PLCO,PLCO,4,Well-watered,
92,256,177.92,0.695,winged,PLCO,PLCO,4,Well-watered,
93,237,126.19,0.532447257,unwinged,PLCO,PLCO,4,Well-watered,
94,57,29.11,0.510701754,unwinged,PLCO,PLCO,4,Well-watered,
95,309,152.4,0.493203883,unwinged,PLCO,PLCO,4,Well-watered,
96,298,110.18,0.369731544,unwinged,PLCO,PLCO,4,Well-watered,
97,204,134.15,0.657598039,winged,PLCO,PLCO,4,Well-watered,
