,mean_p,se_p,mean_dem,se_dem,mean_comp,se_comp,mean_k,se_k
wet,0.81,0.16,0.84,0.09,0.71,0.14,0.6,0.14
dry,0.85,0.1,1.78,0.18,0.47,0.05,0.83,0.13
