"","Site","Area","Transect","Plot","Subplot","instance","moisture","new.col","plot_id"
"1","Cowichan","Collins Field","1",1,"A","soil.moisture.1.12cm",27.2,1,"1"
"2","Cowichan","Collins Field","1",1,"B","soil.moisture.1.12cm",NA,2,"1"
"3","Cowichan","Collins Field","1",2,"A","soil.moisture.1.12cm",23.8,3,"1"
"4","Cowichan","Collins Field","1",2,"B","soil.moisture.1.12cm",21.8,4,"1"
"5","Cowichan","Collins Field","1",3,"A","soil.moisture.1.12cm",22.3,5,"1"
"7","Cowichan","Collins Field","2",1,"A","soil.moisture.1.12cm",NA,7,"1"
"9","Cowichan","Collins Field","2",2,"A","soil.moisture.1.12cm",NA,1,"2"
"10","Cowichan","Collins Field","2",2,"B","soil.moisture.1.12cm",NA,2,"2"
"11","Cowichan","Collins Field","2",3,"A","soil.moisture.1.12cm",NA,3,"2"
"12","Cowichan","Collins Field","2",3,"B","soil.moisture.1.12cm",NA,4,"2"
"13","Cowichan","Collins Field","3",1,"A","soil.moisture.1.12cm",24.3,5,"2"
"15","Cowichan","Collins Field","3",2,"A","soil.moisture.1.12cm",25.7,7,"2"
"17","Cowichan","Collins Field","3",3,"A","soil.moisture.1.12cm",17.4,1,"3"
"18","Cowichan","Collins Field","3",3,"B","soil.moisture.1.12cm",26.7,2,"3"
"19","Cowichan","Collins Field","4",1,"A","soil.moisture.1.12cm",30.1,3,"3"
"20","Cowichan","Collins Field","4",1,"B","soil.moisture.1.12cm",17.9,4,"3"
"21","Cowichan","Collins Field","4",2,"A","soil.moisture.1.12cm",17.9,5,"3"
"23","Cowichan","Collins Field","4",3,"A","soil.moisture.1.12cm",22.3,7,"3"
"25","Cowichan","Drought Shelter Field","1",1,"A","soil.moisture.1.12cm",NA,1,"4"
"26","Cowichan","Drought Shelter Field","1",1,"B","soil.moisture.1.12cm",NA,2,"4"
"27","Cowichan","Drought Shelter Field","1",2,"A","soil.moisture.1.12cm",NA,3,"4"
"28","Cowichan","Drought Shelter Field","1",2,"B","soil.moisture.1.12cm",NA,4,"4"
"29","Cowichan","Drought Shelter Field","1",3,"A","soil.moisture.1.12cm",NA,5,"4"
