"","Site","Area","Transect","Plot","Subplot","instance","moisture","new.col","plot_id"
"31","Cowichan","Drought Shelter Field","2",1,"B","soil.moisture.1.12cm",28.7,7,"4"
"33","Cowichan","Drought Shelter Field","2",2,"B","soil.moisture.1.12cm",NA,1,"5"
"34","Cowichan","Drought Shelter Field","2",3,"A","soil.moisture.1.12cm",NA,2,"5"
"35","Cowichan","Drought Shelter Field","2",3,"B","soil.moisture.1.12cm",23.8,3,"5"
"36","Cowichan","Drought Shelter Field","3",1,"A","soil.moisture.1.12cm",NA,4,"5"
"37","Cowichan","Drought Shelter Field","3",1,"B","soil.moisture.1.12cm",NA,5,"5"
"39","Cowichan","Drought Shelter Field","3",2,"B","soil.moisture.1.12cm",28.7,7,"5"
"41","Cowichan","Drought Shelter Field","3",3,"B","soil.moisture.1.12cm",30.1,1,"6"
"42","Cowichan","Drought Shelter Field","4",1,"A","soil.moisture.1.12cm",NA,2,"6"
"43","Cowichan","Drought Shelter Field","4",1,"B","soil.moisture.1.12cm",NA,3,"6"
"44","Cowichan","Drought Shelter Field","4",2,"A","soil.moisture.1.12cm",NA,4,"6"
"45","Cowichan","Drought Shelter Field","4",2,"B","soil.moisture.1.12cm",NA,5,"6"
"47","Cowichan","Drought Shelter Field","4",3,"B","soil.moisture.1.12cm",NA,7,"6"
"49","Cowichan","Drought Shelter Field","5",1,"B","soil.moisture.1.12cm",25.2,1,"7"
"50","Cowichan","Drought Shelter Field","5",2,"A","soil.moisture.1.12cm",16.9,2,"7"
"51","Cowichan","Drought Shelter Field","5",2,"B","soil.moisture.1.12cm",21.8,3,"7"
"52","Cowichan","Drought Shelter Field","5",3,"A","soil.moisture.1.12cm",NA,4,"7"
"53","Cowichan","Drought Shelter Field","5",3,"B","soil.moisture.1.12cm",NA,5,"7"
"55","Cowichan","Drought Shelter Field","6",1,"B","soil.moisture.1.12cm",26.2,7,"7"
"57","Cowichan","Drought Shelter Field","6",2,"B","soil.moisture.1.12cm",NA,1,"8"
"58","Cowichan","Drought Shelter Field","6",3,"A","soil.moisture.1.12cm",22.8,2,"8"
"59","Cowichan","Drought Shelter Field","6",3,"B","soil.moisture.1.12cm",20.3,3,"8"
"60","Cowichan","Drought Shelter Field","7",1,"A","soil.moisture.1.12cm",24.7,4,"8"
"61","Cowichan","Drought Shelter Field","7",1,"B","soil.moisture.1.12cm",25.7,5,"8"
"63","Cowichan","Drought Shelter Field","7",2,"B","soil.moisture.1.12cm",20.3,7,"8"
"65","Cowichan","Drought Shelter Field","7",3,"B","soil.moisture.1.12cm",NA,1,"9"
"66","Cowichan","Roadside","1",1,"A","soil.moisture.1.12cm",NA,2,"9"
"67","Cowichan","Roadside","1",1,"B","soil.moisture.1.12cm",NA,3,"9"
"68","Cowichan","Roadside","1",2,"A","soil.moisture.1.12cm",NA,4,"9"
"69","Cowichan","Roadside","1",2,"B","soil.moisture.1.12cm",NA,5,"9"
"71","Cowichan","Roadside","1",3,"B","soil.moisture.1.12cm",NA,7,"9"
"73","Cowichan","Roadside","2",1,"B","soil.moisture.1.12cm",NA,1,"10"
"74","Cowichan","Roadside","2",2,"A","soil.moisture.1.12cm",24.7,2,"10"
"75","Cowichan","Roadside","2",2,"B","soil.moisture.1.12cm",NA,3,"10"
"76","Cowichan","Roadside","2",3,"A","soil.moisture.1.12cm",18.4,4,"10"
"77","Cowichan","Roadside","2",3,"B","soil.moisture.1.12cm",NA,5,"10"
"79","Cowichan","Roadside","3",1,"B","soil.moisture.1.12cm",NA,7,"10"
"81","Cowichan","Roadside","3",2,"B","soil.moisture.1.12cm",NA,1,"11"
"82","Cowichan","Roadside","3",3,"A","soil.moisture.1.12cm",NA,2,"11"
"83","Cowichan","Roadside","3",3,"B","soil.moisture.1.12cm",NA,3,"11"
"84","Cowichan","Drought Shelter Field","2",1,"A","soil.moisture.1.12cm",22.8,4,"11"
"85","Stony Hill",NA,"1",1,"A","soil.moisture.1.12cm",18.9,5,"11"
"87","Stony Hill",NA,"1",2,"A","soil.moisture.1.12cm",NA,7,"11"
"89","Stony Hill",NA,"1",3,"A","soil.moisture.1.12cm",NA,1,"12"
"90","Stony Hill",NA,"1",3,"B","soil.moisture.1.12cm",NA,2,"12"
"91","Stony Hill",NA,"2",1,"A","soil.moisture.1.12cm",NA,3,"12"
"92","Stony Hill",NA,"2",1,"B","soil.moisture.1.12cm",NA,4,"12"
"93","Stony Hill",NA,"2",2,"A","soil.moisture.1.12cm",NA,5,"12"
"95","Stony Hill",NA,"2",3,"A","soil.moisture.1.12cm",NA,7,"12"
"97","Stony Hill",NA,"3",1,"A","soil.moisture.1.12cm",NA,1,"13"
"98","Stony Hill",NA,"3",1,"B","soil.moisture.1.12cm",NA,2,"13"
"99","Stony Hill",NA,"3",2,"A","soil.moisture.1.12cm",NA,3,"13"
"100","Stony Hill",NA,"3",2,"B","soil.moisture.1.12cm",NA,4,"13"
"101","Stony Hill",NA,"3",3,"A","soil.moisture.1.12cm",NA,5,"13"
"103","Stony Hill",NA,"4",1,"A","soil.moisture.1.12cm",NA,7,"13"
"105","Stony Hill",NA,"4",2,"A","soil.moisture.1.12cm",NA,1,"14"
"106","Stony Hill",NA,"4",2,"B","soil.moisture.1.12cm",NA,2,"14"
"107","Stony Hill",NA,"4",3,"A","soil.moisture.1.12cm",NA,3,"14"
"108","Stony Hill",NA,"4",3,"B","soil.moisture.1.12cm",NA,4,"14"
"109","Thetis",NA,"1",1,"A","soil.moisture.1.12cm",NA,5,"14"
"111","Thetis",NA,"1",2,"A","soil.moisture.1.12cm",NA,7,"14"
"113","Thetis",NA,"1",3,"A","soil.moisture.1.12cm",NA,1,"15"
"114","Thetis",NA,"1",3,"B","soil.moisture.1.12cm",NA,2,"15"
"115","Thetis",NA,"2",1,"A","soil.moisture.1.12cm",NA,3,"15"
"116","Thetis",NA,"2",1,"B","soil.moisture.1.12cm",NA,4,"15"
"117","Thetis",NA,"2",2,"A","soil.moisture.1.12cm",NA,5,"15"
"119","Thetis",NA,"2",3,"A","soil.moisture.1.12cm",NA,7,"15"
"121","Thetis",NA,"3",1,"A","soil.moisture.1.12cm",NA,1,"16"
"122","Thetis",NA,"3",1,"B","soil.moisture.1.12cm",NA,2,"16"
"123","Thetis",NA,"3",2,"A","soil.moisture.1.12cm",NA,3,"16"
"124","Thetis",NA,"3",2,"B","soil.moisture.1.12cm",NA,4,"16"
"125","Thetis",NA,"3",3,"A","soil.moisture.1.12cm",NA,5,"16"
"127","Thetis",NA,"4",1,"A","soil.moisture.1.12cm",NA,7,"16"
"129","Thetis",NA,"4",2,"A","soil.moisture.1.12cm",NA,1,"17"
"130","Thetis",NA,"4",2,"B","soil.moisture.1.12cm",NA,2,"17"
"131","Thetis",NA,"4",3,"A","soil.moisture.1.12cm",NA,3,"17"
"132","Thetis",NA,"4",3,"B","soil.moisture.1.12cm",NA,4,"17"
"133","Thetis",NA,"5",1,"A","soil.moisture.1.12cm",NA,5,"17"
"135","Thetis",NA,"5",2,"A","soil.moisture.1.12cm",NA,7,"17"
"137","Thetis",NA,"5",3,"A","soil.moisture.1.12cm",NA,1,"18"
"138","Thetis",NA,"5",3,"B","soil.moisture.1.12cm",NA,2,"18"
"139","Cowichan","Collins Field","1",1,"A","soil.moisture.2.12cm",25.7,3,"18"
"140","Cowichan","Collins Field","1",1,"B","soil.moisture.2.12cm",NA,4,"18"
"141","Cowichan","Collins Field","1",2,"A","soil.moisture.2.12cm",25.7,5,"18"
"143","Cowichan","Collins Field","1",3,"A","soil.moisture.2.12cm",15.9,7,"18"
"145","Cowichan","Collins Field","2",1,"A","soil.moisture.2.12cm",NA,1,"19"
"146","Cowichan","Collins Field","2",1,"B","soil.moisture.2.12cm",NA,2,"19"
"147","Cowichan","Collins Field","2",2,"A","soil.moisture.2.12cm",NA,3,"19"
"148","Cowichan","Collins Field","2",2,"B","soil.moisture.2.12cm",NA,4,"19"
"149","Cowichan","Collins Field","2",3,"A","soil.moisture.2.12cm",NA,5,"19"
"151","Cowichan","Collins Field","3",1,"A","soil.moisture.2.12cm",24.3,7,"19"
"153","Cowichan","Collins Field","3",2,"A","soil.moisture.2.12cm",NA,1,"20"
"154","Cowichan","Collins Field","3",2,"B","soil.moisture.2.12cm",NA,2,"20"
"155","Cowichan","Collins Field","3",3,"A","soil.moisture.2.12cm",23.3,3,"20"
"156","Cowichan","Collins Field","3",3,"B","soil.moisture.2.12cm",18.4,4,"20"
"157","Cowichan","Collins Field","4",1,"A","soil.moisture.2.12cm",30.1,5,"20"
"159","Cowichan","Collins Field","4",2,"A","soil.moisture.2.12cm",30.1,7,"20"
"161","Cowichan","Collins Field","4",3,"A","soil.moisture.2.12cm",21.8,1,"21"
"162","Cowichan","Collins Field","4",3,"B","soil.moisture.2.12cm",NA,2,"21"
"163","Cowichan","Drought Shelter Field","1",1,"A","soil.moisture.2.12cm",NA,3,"21"
"164","Cowichan","Drought Shelter Field","1",1,"B","soil.moisture.2.12cm",NA,4,"21"
"165","Cowichan","Drought Shelter Field","1",2,"A","soil.moisture.2.12cm",NA,5,"21"
"167","Cowichan","Drought Shelter Field","1",3,"A","soil.moisture.2.12cm",NA,7,"21"
"169","Cowichan","Drought Shelter Field","2",1,"B","soil.moisture.2.12cm",24.3,1,"22"
"170","Cowichan","Drought Shelter Field","2",2,"A","soil.moisture.2.12cm",NA,2,"22"
"171","Cowichan","Drought Shelter Field","2",2,"B","soil.moisture.2.12cm",NA,3,"22"
"172","Cowichan","Drought Shelter Field","2",3,"A","soil.moisture.2.12cm",NA,4,"22"
"173","Cowichan","Drought Shelter Field","2",3,"B","soil.moisture.2.12cm",25.2,5,"22"
"175","Cowichan","Drought Shelter Field","3",1,"B","soil.moisture.2.12cm",NA,7,"22"
"177","Cowichan","Drought Shelter Field","3",2,"B","soil.moisture.2.12cm",26.7,1,"23"
"178","Cowichan","Drought Shelter Field","3",3,"A","soil.moisture.2.12cm",NA,2,"23"
"179","Cowichan","Drought Shelter Field","3",3,"B","soil.moisture.2.12cm",NA,3,"23"
"180","Cowichan","Drought Shelter Field","4",1,"A","soil.moisture.2.12cm",NA,4,"23"
"181","Cowichan","Drought Shelter Field","4",1,"B","soil.moisture.2.12cm",NA,5,"23"
"183","Cowichan","Drought Shelter Field","4",2,"B","soil.moisture.2.12cm",NA,7,"23"
"185","Cowichan","Drought Shelter Field","4",3,"B","soil.moisture.2.12cm",NA,1,"24"
"186","Cowichan","Drought Shelter Field","5",1,"A","soil.moisture.2.12cm",21.3,2,"24"
"187","Cowichan","Drought Shelter Field","5",1,"B","soil.moisture.2.12cm",21.8,3,"24"
"188","Cowichan","Drought Shelter Field","5",2,"A","soil.moisture.2.12cm",13.5,4,"24"
"189","Cowichan","Drought Shelter Field","5",2,"B","soil.moisture.2.12cm",14.4,5,"24"
"191","Cowichan","Drought Shelter Field","5",3,"B","soil.moisture.2.12cm",NA,7,"24"
"193","Cowichan","Drought Shelter Field","6",1,"B","soil.moisture.2.12cm",NA,1,"25"
"194","Cowichan","Drought Shelter Field","6",2,"A","soil.moisture.2.12cm",NA,2,"25"
"195","Cowichan","Drought Shelter Field","6",2,"B","soil.moisture.2.12cm",NA,3,"25"
"196","Cowichan","Drought Shelter Field","6",3,"A","soil.moisture.2.12cm",27.2,4,"25"
"197","Cowichan","Drought Shelter Field","6",3,"B","soil.moisture.2.12cm",27.2,5,"25"
"199","Cowichan","Drought Shelter Field","7",1,"B","soil.moisture.2.12cm",31.1,7,"25"
"201","Cowichan","Drought Shelter Field","7",2,"B","soil.moisture.2.12cm",NA,1,"26"
"202","Cowichan","Drought Shelter Field","7",3,"A","soil.moisture.2.12cm",26.7,2,"26"
"203","Cowichan","Drought Shelter Field","7",3,"B","soil.moisture.2.12cm",22.3,3,"26"
"204","Cowichan","Roadside","1",1,"A","soil.moisture.2.12cm",NA,4,"26"
"205","Cowichan","Roadside","1",1,"B","soil.moisture.2.12cm",NA,5,"26"
"207","Cowichan","Roadside","1",2,"B","soil.moisture.2.12cm",NA,7,"26"
"209","Cowichan","Roadside","1",3,"B","soil.moisture.2.12cm",NA,1,"27"
"210","Cowichan","Roadside","2",1,"A","soil.moisture.2.12cm",NA,2,"27"
"211","Cowichan","Roadside","2",1,"B","soil.moisture.2.12cm",NA,3,"27"
"212","Cowichan","Roadside","2",2,"A","soil.moisture.2.12cm",NA,4,"27"
"213","Cowichan","Roadside","2",2,"B","soil.moisture.2.12cm",NA,5,"27"
"215","Cowichan","Roadside","2",3,"B","soil.moisture.2.12cm",NA,7,"27"
"217","Cowichan","Roadside","3",1,"B","soil.moisture.2.12cm",26.2,1,"28"
"218","Cowichan","Roadside","3",2,"A","soil.moisture.2.12cm",NA,2,"28"
"219","Cowichan","Roadside","3",2,"B","soil.moisture.2.12cm",NA,3,"28"
"220","Cowichan","Roadside","3",3,"A","soil.moisture.2.12cm",NA,4,"28"
"221","Cowichan","Roadside","3",3,"B","soil.moisture.2.12cm",NA,5,"28"
"223","Stony Hill",NA,"1",1,"A","soil.moisture.2.12cm",17.4,7,"28"
"225","Stony Hill",NA,"1",2,"A","soil.moisture.2.12cm",NA,1,"29"
"226","Stony Hill",NA,"1",2,"B","soil.moisture.2.12cm",20.3,2,"29"
"227","Stony Hill",NA,"1",3,"A","soil.moisture.2.12cm",NA,3,"29"
"228","Stony Hill",NA,"1",3,"B","soil.moisture.2.12cm",NA,4,"29"
"229","Stony Hill",NA,"2",1,"A","soil.moisture.2.12cm",NA,5,"29"
"231","Stony Hill",NA,"2",2,"A","soil.moisture.2.12cm",NA,7,"29"
"233","Stony Hill",NA,"2",3,"A","soil.moisture.2.12cm",NA,1,"30"
"234","Stony Hill",NA,"2",3,"B","soil.moisture.2.12cm",NA,2,"30"
"235","Stony Hill",NA,"3",1,"A","soil.moisture.2.12cm",NA,3,"30"
"236","Stony Hill",NA,"3",1,"B","soil.moisture.2.12cm",NA,4,"30"
"237","Stony Hill",NA,"3",2,"A","soil.moisture.2.12cm",NA,5,"30"
"239","Stony Hill",NA,"3",3,"A","soil.moisture.2.12cm",NA,7,"30"
"241","Stony Hill",NA,"4",1,"A","soil.moisture.2.12cm",NA,1,"31"
"242","Stony Hill",NA,"4",1,"B","soil.moisture.2.12cm",NA,2,"31"
"243","Stony Hill",NA,"4",2,"A","soil.moisture.2.12cm",NA,3,"31"
"244","Stony Hill",NA,"4",2,"B","soil.moisture.2.12cm",NA,4,"31"
"245","Stony Hill",NA,"4",3,"A","soil.moisture.2.12cm",NA,5,"31"
"247","Thetis",NA,"1",1,"A","soil.moisture.2.12cm",NA,7,"31"
"249","Thetis",NA,"1",2,"A","soil.moisture.2.12cm",NA,1,"32"
"250","Thetis",NA,"1",2,"B","soil.moisture.2.12cm",NA,2,"32"
"251","Thetis",NA,"1",3,"A","soil.moisture.2.12cm",NA,3,"32"
"252","Thetis",NA,"1",3,"B","soil.moisture.2.12cm",NA,4,"32"
"253","Thetis",NA,"2",1,"A","soil.moisture.2.12cm",NA,5,"32"
"255","Thetis",NA,"2",2,"A","soil.moisture.2.12cm",NA,7,"32"
"257","Thetis",NA,"2",3,"A","soil.moisture.2.12cm",NA,1,"33"
"258","Thetis",NA,"2",3,"B","soil.moisture.2.12cm",NA,2,"33"
"259","Thetis",NA,"3",1,"A","soil.moisture.2.12cm",NA,3,"33"
"260","Thetis",NA,"3",1,"B","soil.moisture.2.12cm",NA,4,"33"
"261","Thetis",NA,"3",2,"A","soil.moisture.2.12cm",NA,5,"33"
"263","Thetis",NA,"3",3,"A","soil.moisture.2.12cm",NA,7,"33"
"265","Thetis",NA,"4",1,"A","soil.moisture.2.12cm",NA,1,"34"
"266","Thetis",NA,"4",1,"B","soil.moisture.2.12cm",NA,2,"34"
"267","Thetis",NA,"4",2,"A","soil.moisture.2.12cm",NA,3,"34"
"268","Thetis",NA,"4",2,"B","soil.moisture.2.12cm",NA,4,"34"
"269","Thetis",NA,"4",3,"A","soil.moisture.2.12cm",NA,5,"34"
"271","Thetis",NA,"5",1,"A","soil.moisture.2.12cm",NA,7,"34"
"273","Thetis",NA,"5",2,"A","soil.moisture.2.12cm",NA,1,"35"
"274","Thetis",NA,"5",2,"B","soil.moisture.2.12cm",NA,2,"35"
"275","Thetis",NA,"5",3,"A","soil.moisture.2.12cm",NA,3,"35"
"276","Thetis",NA,"5",3,"B","soil.moisture.2.12cm",NA,4,"35"
"277","Cowichan","Collins Field","1",1,"A","soil.moisture.1.12cm..1m.2.",23.8,5,"35"
"279","Cowichan","Collins Field","1",2,"A","soil.moisture.1.12cm..1m.2.",23.8,7,"35"
"281","Cowichan","Collins Field","1",3,"A","soil.moisture.1.12cm..1m.2.",15.9,1,"36"
"282","Cowichan","Collins Field","1",3,"B","soil.moisture.1.12cm..1m.2.",15.9,2,"36"
"283","Cowichan","Collins Field","2",1,"A","soil.moisture.1.12cm..1m.2.",17.9,3,"36"
"284","Cowichan","Collins Field","2",1,"B","soil.moisture.1.12cm..1m.2.",17.9,4,"36"
"285","Cowichan","Collins Field","2",2,"A","soil.moisture.1.12cm..1m.2.",NA,5,"36"
"287","Cowichan","Collins Field","2",3,"A","soil.moisture.1.12cm..1m.2.",NA,7,"36"
"289","Cowichan","Collins Field","3",1,"A","soil.moisture.1.12cm..1m.2.",28.2,1,"37"
"290","Cowichan","Collins Field","3",1,"B","soil.moisture.1.12cm..1m.2.",28.2,2,"37"
"291","Cowichan","Collins Field","3",2,"A","soil.moisture.1.12cm..1m.2.",25.7,3,"37"
"292","Cowichan","Collins Field","3",2,"B","soil.moisture.1.12cm..1m.2.",25.7,4,"37"
"293","Cowichan","Collins Field","3",3,"A","soil.moisture.1.12cm..1m.2.",17.9,5,"37"
"295","Cowichan","Collins Field","4",1,"A","soil.moisture.1.12cm..1m.2.",31.6,7,"37"
"297","Cowichan","Collins Field","4",2,"A","soil.moisture.1.12cm..1m.2.",34.1,1,"38"
"298","Cowichan","Collins Field","4",2,"B","soil.moisture.1.12cm..1m.2.",34.1,2,"38"
"299","Cowichan","Collins Field","4",3,"A","soil.moisture.1.12cm..1m.2.",34.1,3,"38"
"300","Cowichan","Collins Field","4",3,"B","soil.moisture.1.12cm..1m.2.",34.1,4,"38"
"301","Cowichan","Drought Shelter Field","1",1,"A","soil.moisture.1.12cm..1m.2.",NA,5,"38"
"303","Cowichan","Drought Shelter Field","1",2,"A","soil.moisture.1.12cm..1m.2.",NA,7,"38"
"305","Cowichan","Drought Shelter Field","1",3,"A","soil.moisture.1.12cm..1m.2.",NA,1,"39"
"306","Cowichan","Drought Shelter Field","1",3,"B","soil.moisture.1.12cm..1m.2.",NA,2,"39"
"307","Cowichan","Drought Shelter Field","2",1,"B","soil.moisture.1.12cm..1m.2.",NA,3,"39"
"308","Cowichan","Drought Shelter Field","2",2,"A","soil.moisture.1.12cm..1m.2.",NA,4,"39"
"309","Cowichan","Drought Shelter Field","2",2,"B","soil.moisture.1.12cm..1m.2.",NA,5,"39"
"311","Cowichan","Drought Shelter Field","2",3,"B","soil.moisture.1.12cm..1m.2.",NA,7,"39"
"313","Cowichan","Drought Shelter Field","3",1,"B","soil.moisture.1.12cm..1m.2.",NA,1,"40"
"314","Cowichan","Drought Shelter Field","3",2,"A","soil.moisture.1.12cm..1m.2.",NA,2,"40"
"315","Cowichan","Drought Shelter Field","3",2,"B","soil.moisture.1.12cm..1m.2.",NA,3,"40"
"316","Cowichan","Drought Shelter Field","3",3,"A","soil.moisture.1.12cm..1m.2.",NA,4,"40"
"317","Cowichan","Drought Shelter Field","3",3,"B","soil.moisture.1.12cm..1m.2.",NA,5,"40"
"319","Cowichan","Drought Shelter Field","4",1,"B","soil.moisture.1.12cm..1m.2.",NA,7,"40"
"321","Cowichan","Drought Shelter Field","4",2,"B","soil.moisture.1.12cm..1m.2.",NA,1,"41"
"322","Cowichan","Drought Shelter Field","4",3,"A","soil.moisture.1.12cm..1m.2.",NA,2,"41"
"323","Cowichan","Drought Shelter Field","4",3,"B","soil.moisture.1.12cm..1m.2.",NA,3,"41"
"324","Cowichan","Drought Shelter Field","5",1,"A","soil.moisture.1.12cm..1m.2.",26.4,4,"41"
"325","Cowichan","Drought Shelter Field","5",1,"B","soil.moisture.1.12cm..1m.2.",26.4,5,"41"
"327","Cowichan","Drought Shelter Field","5",2,"B","soil.moisture.1.12cm..1m.2.",23.3,7,"41"
"329","Cowichan","Drought Shelter Field","5",3,"B","soil.moisture.1.12cm..1m.2.",NA,1,"42"
"330","Cowichan","Drought Shelter Field","6",1,"A","soil.moisture.1.12cm..1m.2.",59.1,2,"42"
"331","Cowichan","Drought Shelter Field","6",1,"B","soil.moisture.1.12cm..1m.2.",59.1,3,"42"
"332","Cowichan","Drought Shelter Field","6",2,"A","soil.moisture.1.12cm..1m.2.",36.5,4,"42"
"333","Cowichan","Drought Shelter Field","6",2,"B","soil.moisture.1.12cm..1m.2.",36.5,5,"42"
"335","Cowichan","Drought Shelter Field","6",3,"B","soil.moisture.1.12cm..1m.2.",24.7,7,"42"
"337","Cowichan","Drought Shelter Field","7",1,"B","soil.moisture.1.12cm..1m.2.",25.7,1,"43"
"338","Cowichan","Drought Shelter Field","7",2,"A","soil.moisture.1.12cm..1m.2.",22.8,2,"43"
"339","Cowichan","Drought Shelter Field","7",2,"B","soil.moisture.1.12cm..1m.2.",22.8,3,"43"
"340","Cowichan","Drought Shelter Field","7",3,"A","soil.moisture.1.12cm..1m.2.",15.9,4,"43"
"341","Cowichan","Drought Shelter Field","7",3,"B","soil.moisture.1.12cm..1m.2.",15.9,5,"43"
"343","Cowichan","Roadside","1",1,"B","soil.moisture.1.12cm..1m.2.",NA,7,"43"
"345","Cowichan","Roadside","1",2,"B","soil.moisture.1.12cm..1m.2.",NA,1,"44"
"346","Cowichan","Roadside","1",3,"A","soil.moisture.1.12cm..1m.2.",NA,2,"44"
"347","Cowichan","Roadside","1",3,"B","soil.moisture.1.12cm..1m.2.",NA,3,"44"
"348","Cowichan","Roadside","2",1,"A","soil.moisture.1.12cm..1m.2.",NA,4,"44"
"349","Cowichan","Roadside","2",1,"B","soil.moisture.1.12cm..1m.2.",NA,5,"44"
"351","Cowichan","Roadside","2",2,"B","soil.moisture.1.12cm..1m.2.",26.7,7,"44"
"353","Cowichan","Roadside","2",3,"B","soil.moisture.1.12cm..1m.2.",NA,1,"45"
"354","Cowichan","Roadside","3",1,"A","soil.moisture.1.12cm..1m.2.",28.2,2,"45"
"355","Cowichan","Roadside","3",1,"B","soil.moisture.1.12cm..1m.2.",28.2,3,"45"
"356","Cowichan","Roadside","3",2,"A","soil.moisture.1.12cm..1m.2.",NA,4,"45"
"357","Cowichan","Roadside","3",2,"B","soil.moisture.1.12cm..1m.2.",NA,5,"45"
"359","Cowichan","Roadside","3",3,"B","soil.moisture.1.12cm..1m.2.",NA,7,"45"
"361","Stony Hill",NA,"1",1,"A","soil.moisture.1.12cm..1m.2.",14.4,1,"46"
"362","Stony Hill",NA,"1",1,"B","soil.moisture.1.12cm..1m.2.",14.4,2,"46"
"363","Stony Hill",NA,"1",2,"A","soil.moisture.1.12cm..1m.2.",NA,3,"46"
"364","Stony Hill",NA,"1",2,"B","soil.moisture.1.12cm..1m.2.",NA,4,"46"
"365","Stony Hill",NA,"1",3,"A","soil.moisture.1.12cm..1m.2.",NA,5,"46"
"367","Stony Hill",NA,"2",1,"A","soil.moisture.1.12cm..1m.2.",NA,7,"46"
"369","Stony Hill",NA,"2",2,"A","soil.moisture.1.12cm..1m.2.",NA,1,"47"
"370","Stony Hill",NA,"2",2,"B","soil.moisture.1.12cm..1m.2.",NA,2,"47"
"371","Stony Hill",NA,"2",3,"A","soil.moisture.1.12cm..1m.2.",NA,3,"47"
"372","Stony Hill",NA,"2",3,"B","soil.moisture.1.12cm..1m.2.",NA,4,"47"
"373","Stony Hill",NA,"3",1,"A","soil.moisture.1.12cm..1m.2.",NA,5,"47"
"375","Stony Hill",NA,"3",2,"A","soil.moisture.1.12cm..1m.2.",NA,7,"47"
"377","Stony Hill",NA,"3",3,"A","soil.moisture.1.12cm..1m.2.",NA,1,"48"
"378","Stony Hill",NA,"3",3,"B","soil.moisture.1.12cm..1m.2.",NA,2,"48"
"379","Stony Hill",NA,"4",1,"A","soil.moisture.1.12cm..1m.2.",NA,3,"48"
"380","Stony Hill",NA,"4",1,"B","soil.moisture.1.12cm..1m.2.",NA,4,"48"
"381","Stony Hill",NA,"4",2,"A","soil.moisture.1.12cm..1m.2.",NA,5,"48"
"383","Stony Hill",NA,"4",3,"A","soil.moisture.1.12cm..1m.2.",NA,7,"48"
"385","Thetis",NA,"1",1,"A","soil.moisture.1.12cm..1m.2.",NA,1,"49"
"386","Thetis",NA,"1",1,"B","soil.moisture.1.12cm..1m.2.",NA,2,"49"
"387","Thetis",NA,"1",2,"A","soil.moisture.1.12cm..1m.2.",NA,3,"49"
"388","Thetis",NA,"1",2,"B","soil.moisture.1.12cm..1m.2.",NA,4,"49"
"389","Thetis",NA,"1",3,"A","soil.moisture.1.12cm..1m.2.",NA,5,"49"
"391","Thetis",NA,"2",1,"A","soil.moisture.1.12cm..1m.2.",NA,7,"49"
"393","Thetis",NA,"2",2,"A","soil.moisture.1.12cm..1m.2.",NA,1,"50"
"394","Thetis",NA,"2",2,"B","soil.moisture.1.12cm..1m.2.",NA,2,"50"
"395","Thetis",NA,"2",3,"A","soil.moisture.1.12cm..1m.2.",NA,3,"50"
"396","Thetis",NA,"2",3,"B","soil.moisture.1.12cm..1m.2.",NA,4,"50"
"397","Thetis",NA,"3",1,"A","soil.moisture.1.12cm..1m.2.",NA,5,"50"
